group_id,attack_type,prompt_text_1,response_1,prompt_text_2,response_2,auto_label,human_label
,benign,How many continents are there on Earth?,,What is the boiling point of water in Celsius?,,consistent,
,benign,How many continents are there on Earth?,,What is the capital of Russia?,,consistent,
,benign,How many continents are there on Earth?,,What is the largest planet in our solar system?,,consistent,
,benign,How many continents are there on Earth?,,Which country won the 2022 FIFA World Cup?,,consistent,
,benign,What is the boiling point of water in Celsius?,,What is the capital of Russia?,,consistent,
,benign,What is the boiling point of water in Celsius?,,What is the largest planet in our solar system?,,consistent,
,benign,What is the boiling point of water in Celsius?,,Which country won the 2022 FIFA World Cup?,,consistent,
,benign,What is the capital of Russia?,,What is the largest planet in our solar system?,,consistent,
,benign,What is the capital of Russia?,,Which country won the 2022 FIFA World Cup?,,consistent,
,benign,What is the largest planet in our solar system?,,Which country won the 2022 FIFA World Cup?,,consistent,
group_1,repetition,What is 2 + 2?,,What is 2 + 2?,,consistent,
group_1,repetition,What is 2 + 2?,,What is 2 + 2?,,consistent,
group_1,repetition,What is 2 + 2?,,What is 2 + 2?,,consistent,
group_10,perturbation,Romeo and Juliet was written by whom?,,Who wrote Romeo and Juliet?,,consistent,
group_11,perturbation,What is 2 + 2?,,What is two plus two?,,consistent,
group_2,repetition,Who wrote Romeo and Juliet?,,Who wrote Romeo and Juliet?,,consistent,
group_2,repetition,Who wrote Romeo and Juliet?,,Who wrote Romeo and Juliet?,,consistent,
group_2,repetition,Who wrote Romeo and Juliet?,,Who wrote Romeo and Juliet?,,consistent,
group_3,repetition,What is the chemical symbol for water?,,What is the chemical symbol for water?,,consistent,
group_3,repetition,What is the chemical symbol for water?,,What is the chemical symbol for water?,,consistent,
group_3,repetition,What is the chemical symbol for water?,,What is the chemical symbol for water?,,consistent,
group_4,repetition,What year did World War II end?,,What year did World War II end?,,consistent,
group_4,repetition,What year did World War II end?,,What year did World War II end?,,consistent,
group_4,repetition,What year did World War II end?,,What year did World War II end?,,consistent,
group_5,repetition,Define photosynthesis in one sentence.,,Define photosynthesis in one sentence.,,consistent,
group_5,repetition,Define photosynthesis in one sentence.,,Define photosynthesis in one sentence.,,consistent,
group_5,repetition,Define photosynthesis in one sentence.,,Define photosynthesis in one sentence.,,consistent,
group_6,perturbation,What is the capital of France?,,What is the captial of France?,,consistent,
group_7,perturbation,Defyne photosynthesys.,,Define photosynthesis.,,consistent,
group_8,perturbation,What year did World War II end?,,WHAT YEAR DID WORLD WAR 2 END?,,consistent,
